RegionID,SizeRank,RegionName,RegionType,StateName,date,price
394692,6,"Houston, TX",Msa,TX,2008-03-01,150500.0
395209,7,"Washington, DC",Msa,DC,2008-03-01,365375.0
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,2008-03-01,267575.0
394347,9,"Atlanta, GA",Msa,GA,2008-03-01,182575.0
394404,10,"Boston, MA",Msa,MA,2008-03-01,309363.0
395057,11,"San Francisco, CA",Msa,CA,2008-03-01,581188.0
394532,12,"Detroit, MI",Msa,MI,2008-03-01,133250.0
395025,13,"Riverside, CA",Msa,CA,2008-03-01,327500.0
394976,14,"Phoenix, AZ",Msa,AZ,2008-03-01,228699.0
395078,15,"Seattle, WA",Msa,WA,2008-03-01,352776.0
394865,16,"Minneapolis-St Paul, MN",Msa,MN,2008-03-01,216225.0
395056,17,"San Diego, CA",Msa,CA,2008-03-01,477500.0
395121,18,"St. Louis, MO",Msa,MO,2008-03-01,143363.0
395148,19,"Tampa, FL",Msa,FL,2008-03-01,174750.0
394358,20,"Baltimore, MD",Msa,MD,2008-03-01,256778.0
394530,21,"Denver, CO",Msa,CO,2008-03-01,237813.0
394982,22,"Pittsburgh, PA",Msa,PA,2008-03-01,116538.0
394998,23,"Portland, OR",Msa,OR,2008-03-01,272000.0
394458,24,"Charlotte, NC",Msa,NC,2008-03-01,169813.0
395045,25,"Sacramento, CA",Msa,CA,2008-03-01,334563.0
395055,26,"San Antonio, TX",Msa,TX,2008-03-01,145892.0
394943,27,"Orlando, FL",Msa,FL,2008-03-01,226988.0
394466,28,"Cincinnati, OH",Msa,OH,2008-03-01,140872.0
394475,29,"Cleveland, OH",Msa,OH,2008-03-01,129375.0
394735,30,"Kansas City, MO",Msa,MO,2008-03-01,147936.0
394775,31,"Las Vegas, NV",Msa,NV,2008-03-01,269809.0
394492,32,"Columbus, OH",Msa,OH,2008-03-01,147750.0
394705,33,"Indianapolis, IN",Msa,IN,2008-03-01,115500.0
395059,34,"San Jose, CA",Msa,CA,2008-03-01,711125.0
394355,35,"Austin, TX",Msa,TX,2008-03-01,184285.0
395194,36,"Virginia Beach, VA",Msa,VA,2008-03-01,219607.0
394902,37,"Nashville, TN",Msa,TN,2008-03-01,159846.0
395005,38,"Providence, RI",Msa,RI,2008-03-01,261188.0
394862,39,"Milwaukee, WI",Msa,WI,2008-03-01,168913.0
394714,40,"Jacksonville, FL",Msa,FL,2008-03-01,187213.0
394849,41,"Memphis, TN",Msa,TN,2008-03-01,133250.0
394935,42,"Oklahoma City, OK",Msa,OK,2008-03-01,113713.0
394807,43,"Louisville-Jefferson County, KY",Msa,KY,2008-03-01,137413.0
394669,44,"Hartford, CT",Msa,CT,2008-03-01,223100.0
395022,45,"Richmond, VA",Msa,VA,2008-03-01,200349.0
394910,46,"New Orleans, LA",Msa,LA,2008-03-01,163625.0
395012,48,"Raleigh, NC",Msa,NC,2008-03-01,195313.0
394388,49,"Birmingham, AL",Msa,AL,2008-03-01,143375.0
395053,50,"Salt Lake City, UT",Msa,UT,2008-03-01,225500.0
395031,51,"Rochester, NY",Msa,NY,2008-03-01,110057.0
394640,52,"Grand Rapids, MI",Msa,MI,2008-03-01,125750.0
395167,53,"Tucson, AZ",Msa,AZ,2008-03-01,212750.0
753924,54,"Urban Honolulu, HI",Msa,HI,2008-03-01,399675.0
395169,55,"Tulsa, OK",Msa,OK,2008-03-01,116375.0
394619,56,"Fresno, CA",Msa,CA,2008-03-01,255250.0
395238,57,"Worcester, MA",Msa,MA,2008-03-01,230125.0
394415,58,"Stamford, CT",Msa,CT,2008-03-01,396469.0
394308,60,"Albany, NY",Msa,NY,2008-03-01,165805.0
394938,61,"Omaha, NE",Msa,NE,2008-03-01,132288.0
394908,62,"New Haven, CT",Msa,CT,2008-03-01,233050.0
394357,63,"Bakersfield, CA",Msa,CA,2008-03-01,231438.0
394753,64,"Knoxville, TN",Msa,TN,2008-03-01,133188.0
394653,65,"Greenville, SC",Msa,SC,2008-03-01,140223.0
394952,66,"Ventura, CA",Msa,CA,2008-03-01,494375.0
394318,67,"Allentown, PA",Msa,PA,2008-03-01,194934.0
394561,68,"El Paso, TX",Msa,TX,2008-03-01,133850.0
394367,69,"Baton Rouge, LA",Msa,LA,2008-03-01,166271.0
394521,70,"Dayton, OH",Msa,OH,2008-03-01,119213.0
394486,72,"Columbia, SC",Msa,SC,2008-03-01,139038.0
394648,73,"Greensboro, NC",Msa,NC,2008-03-01,138883.0
394798,76,"Little Rock, AR",Msa,AR,2008-03-01,133375.0
395134,77,"Stockton, CA",Msa,CA,2008-03-01,326125.0
394457,78,"Charleston, SC",Msa,SC,2008-03-01,195132.0
395143,79,"Syracuse, NY",Msa,NY,2008-03-01,113340.0
395235,81,"Winston-Salem, NC",Msa,NC,2008-03-01,138000.0
395224,82,"Wichita, KS",Msa,KS,2008-03-01,100750.0
395115,83,"Springfield, MA",Msa,MA,2008-03-01,189513.0
394440,84,"Fort Myers, FL",Msa,FL,2008-03-01,228100.0
394399,85,"Boise City, ID",Msa,ID,2008-03-01,186946.0
394816,87,"Madison, WI",Msa,WI,2008-03-01,194075.0
394766,88,"Lakeland, FL",Msa,FL,2008-03-01,172000.0
394931,89,"Ogden, UT",Msa,UT,2008-03-01,188006.0
394528,90,"Daytona Beach, FL",Msa,FL,2008-03-01,173488.0
394531,91,"Des Moines, IA",Msa,IA,2008-03-01,153563.0
394711,92,"Jackson, MS",Msa,MS,2008-03-01,128038.0
394352,94,"Augusta, GA",Msa,GA,2008-03-01,119975.0
394666,96,"Harrisburg, PA",Msa,PA,2008-03-01,157990.0
395006,100,"Provo, UT",Msa,UT,2008-03-01,211375.0
394602,159,"Fort Collins, CO",Msa,CO,2008-03-01,230475.0
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,2008-03-08,510688.0
394463,3,"Chicago, IL",Msa,IL,2008-03-08,251613.0
394514,4,"Dallas-Fort Worth, TX",Msa,TX,2008-03-08,146463.0
394974,5,"Philadelphia, PA",Msa,PA,2008-03-08,214652.0
394692,6,"Houston, TX",Msa,TX,2008-03-08,152000.0
395209,7,"Washington, DC",Msa,DC,2008-03-08,365375.0
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,2008-03-08,267800.0
394347,9,"Atlanta, GA",Msa,GA,2008-03-08,180075.0
394404,10,"Boston, MA",Msa,MA,2008-03-08,318863.0
395057,11,"San Francisco, CA",Msa,CA,2008-03-08,586813.0
394532,12,"Detroit, MI",Msa,MI,2008-03-08,133438.0
395025,13,"Riverside, CA",Msa,CA,2008-03-08,327500.0
394976,14,"Phoenix, AZ",Msa,AZ,2008-03-08,229614.0
