region_date,state,date,income
northdakota2017,North Dakota,2017,59886.0
ohio2017,Ohio,2017,59768.0
oklahoma2017,Oklahoma,2017,55006.0
oregon2017,Oregon,2017,64610.0
pennsylvania2017,Pennsylvania,2017,63173.0
rhodeisland2017,Rhode Island,2017,66390.0
southcarolina2017,South Carolina,2017,54971.0
southdakota2017,South Dakota,2017,56894.0
tennessee2017,Tennessee,2017,55240.0
texas2017,Texas,2017,59295.0
utah2017,Utah,2017,71319.0
vermont2017,Vermont,2017,63805.0
virginia2017,Virginia,2017,71293.0
washington2017,Washington,2017,75418.0
westvirginia2017,West Virginia,2017,45392.0
wisconsin2017,Wisconsin,2017,63451.0
wyoming2017,Wyoming,2017,57837.0
unitedstates2016,United States,2016,59039.0
alabama2016,Alabama,2016,47221.0
alaska2016,Alaska,2016,75723.0
arizona2016,Arizona,2016,57100.0
arkansas2016,Arkansas,2016,45907.0
california2016,California,2016,66637.0
colorado2016,Colorado,2016,70566.0
connecticut2016,Connecticut,2016,75923.0
delaware2016,Delaware,2016,58046.0
districtofcolumbia2016,District of Columbia,2016,70982.0
florida2016,Florida,2016,51176.0
georgia2016,Georgia,2016,53527.0
hawaii2016,Hawaii,2016,72133.0
idaho2016,Idaho,2016,56564.0
illinois2016,Illinois,2016,61386.0
indiana2016,Indiana,2016,56094.0
iowa2016,Iowa,2016,59094.0
kansas2016,Kansas,2016,56810.0
kentucky2016,Kentucky,2016,45369.0
louisiana2016,Louisiana,2016,42196.0
maine2016,Maine,2016,50856.0
maryland2016,Maryland,2016,73760.0
massachusetts2016,Massachusetts,2016,72266.0
michigan2016,Michigan,2016,57091.0
minnesota2016,Minnesota,2016,70218.0
mississippi2016,Mississippi,2016,41099.0
missouri2016,Missouri,2016,55016.0
montana2016,Montana,2016,57075.0
nebraska2016,Nebraska,2016,59374.0
nevada2016,Nevada,2016,55431.0
newhampshire2016,New Hampshire,2016,76260.0
newjersey2016,New Jersey,2016,68468.0
newmexico2016,New Mexico,2016,48451.0
newyork2016,New York,2016,61437.0
northcarolina2016,North Carolina,2016,53764.0
northdakota2016,North Dakota,2016,60184.0
ohio2016,Ohio,2016,53985.0
oklahoma2016,Oklahoma,2016,50943.0
oregon2016,Oregon,2016,59135.0
pennsylvania2016,Pennsylvania,2016,60979.0
rhodeisland2016,Rhode Island,2016,61528.0
southcarolina2016,South Carolina,2016,54336.0
southdakota2016,South Dakota,2016,57450.0
tennessee2016,Tennessee,2016,51344.0
texas2016,Texas,2016,58146.0
utah2016,Utah,2016,67481.0
vermont2016,Vermont,2016,60837.0
virginia2016,Virginia,2016,66451.0
washington2016,Washington,2016,70310.0
westvirginia2016,West Virginia,2016,44354.0
wisconsin2016,Wisconsin,2016,59817.0
wyoming2016,Wyoming,2016,57829.0
unitedstates2015,United States,2015,56516.0
alabama2015,Alabama,2015,44509.0
alaska2015,Alaska,2015,75112.0
arizona2015,Arizona,2015,52248.0
arkansas2015,Arkansas,2015,42798.0
california2015,California,2015,63636.0
colorado2015,Colorado,2015,66596.0
connecticut2015,Connecticut,2015,72889.0
delaware2015,Delaware,2015,57756.0
districtofcolumbia2015,District of Columbia,2015,70071.0
florida2015,Florida,2015,48825.0
georgia2015,Georgia,2015,50768.0
hawaii2015,Hawaii,2015,64514.0
idaho2015,Idaho,2015,51624.0
illinois2015,Illinois,2015,60413.0
indiana2015,Indiana,2015,51983.0
iowa2015,Iowa,2015,60855.0
kansas2015,Kansas,2015,54865.0
kentucky2015,Kentucky,2015,42387.0
louisiana2015,Louisiana,2015,45922.0
maine2015,Maine,2015,50756.0
maryland2015,Maryland,2015,73594.0
massachusetts2015,Massachusetts,2015,67861.0
michigan2015,Michigan,2015,54203.0
minnesota2015,Minnesota,2015,68730.0
mississippi2015,Mississippi,2015,40037.0
missouri2015,Missouri,2015,59196.0
montana2015,Montana,2015,51395.0
nebraska2015,Nebraska,2015,60474.0
nevada2015,Nevada,2015,52008.0
newhampshire2015,New Hampshire,2015,75675.0
newjersey2015,New Jersey,2015,68357.0
newmexico2015,New Mexico,2015,45119.0
newyork2015,New York,2015,58005.0
northcarolina2015,North Carolina,2015,50797.0
northdakota2015,North Dakota,2015,57415.0
ohio2015,Ohio,2015,53301.0
oklahoma2015,Oklahoma,2015,47077.0
oregon2015,Oregon,2015,60834.0
pennsylvania2015,Pennsylvania,2015,60389.0
rhodeisland2015,Rhode Island,2015,55701.0
southcarolina2015,South Carolina,2015,46360.0
