date,size_rank,region_name,list_price,sale_price,list_divided_by_sale,list_minus_sale
2017-11-04,36.4,California,614123.7,508281.3,82.76529630756801,105842.39999999997
2017-11-11,36.4,California,613946.7,514450.0,83.79391891836865,99496.69999999995
2017-11-18,36.4,California,614898.4,516943.9,84.06980730475149,97954.5
2017-11-25,36.4,California,612118.7,517912.7,84.6098477305137,94205.99999999994
2017-12-02,36.4,California,608753.3,517612.8,85.02833578068487,91140.50000000006
2017-12-09,36.4,California,608399.3,517747.5,85.0999499835059,90651.80000000005
2017-12-16,36.4,California,608267.7,511941.2,84.16379827500295,96326.49999999994
2017-12-23,36.4,California,609372.0,510903.7,83.84101993527763,98468.29999999999
2017-12-30,36.4,California,611030.8,511653.6,83.73613899659395,99377.20000000007
2018-01-06,36.4,California,609612.5,509000.2,83.49569603641658,100612.29999999999
2018-01-13,36.4,California,608077.2,508910.7,83.69179110810273,99166.49999999994
2018-01-20,36.4,California,607682.7,507343.8,83.48827439056599,100338.89999999997
2018-01-27,36.4,California,609083.3,499618.7,82.02797548381314,109464.60000000003
2018-02-03,36.4,California,614276.0,494361.3,80.47869361655022,119914.70000000001
2018-02-10,36.4,California,619167.8,496598.3,80.20415467341809,122569.50000000006
2018-02-17,36.4,California,625491.7,499740.2,79.895576552015,125751.49999999994
2018-02-24,36.4,California,631636.3,514771.4,81.49807096267267,116864.90000000002
2018-03-03,36.4,California,636909.1,524128.9,82.29257518851591,112780.19999999995
2018-03-10,36.4,California,641876.3,532231.4,82.91806380762151,109644.90000000002
2018-03-17,36.4,California,645453.3,537537.6,83.28063393587111,107915.70000000007
2018-03-24,36.4,California,648137.0,541718.7,83.58089416280816,106418.30000000005
2018-03-31,36.4,California,650612.5,547556.2,84.16011066495032,103056.30000000005
2018-04-07,36.4,California,654278.9,547912.4,83.74294203893783,106366.5
2018-04-14,36.4,California,656604.3,548499.9,83.53583733764765,108104.40000000002
2018-04-21,36.4,California,659389.9,545612.5,82.745049628452,113777.40000000002
2018-04-28,36.4,California,662515.7,545318.8,82.31032109880567,117196.8999999999
2018-05-05,36.4,California,664079.4,545087.6,82.0816908339575,118991.80000000005
2018-05-12,36.4,California,664980.9,546100.1,82.12267450087664,118880.80000000005
2018-05-19,36.4,California,665404.3,547968.9,82.35127124967482,117435.40000000002
2018-05-26,36.4,California,665219.6,552206.4,83.01114398914284,113013.19999999995
2018-06-02,36.4,California,665614.3,555356.4,83.43516658220834,110257.90000000002
2018-06-09,36.4,California,665150.3,556422.6,83.65366444245758,108727.70000000007
2018-06-16,36.4,California,664229.7,558066.3,84.0170651809156,106163.3999999999
2018-06-23,36.4,California,662252.8,558247.6,84.29524193782191,104005.20000000007
2018-06-30,36.4,California,659277.7,557016.3,84.48887320168726,102261.3999999999
2018-07-07,36.4,California,656900.5,555150.0,84.5105156717037,101750.5
2018-07-14,36.4,California,652816.2,550200.0,84.28099670320682,102616.19999999995
2018-07-21,36.4,California,648498.7,543975.0,83.88220361891243,104523.69999999995
2018-07-28,36.4,California,644308.3,542717.2,84.23253277972671,101591.1000000001
2018-08-04,36.4,California,639503.7,542210.8,84.78618653809198,97292.8999999999
2018-08-11,36.4,California,634891.0,541904.6,85.35395839600814,92986.40000000002
2018-08-18,36.4,California,629570.5,544304.6,86.45649692925574,85265.90000000002
2018-08-25,36.4,California,624280.5,547212.4,87.6548923120296,77068.09999999998
2018-09-01,36.4,California,619556.7,546456.3,88.20117674459821,73100.3999999999
2018-09-08,36.4,California,615426.6,546523.5,88.80401009641118,68903.09999999998
2018-09-15,36.4,California,613639.5,542754.9,88.44849459658317,70884.59999999998
2018-09-22,36.4,California,612235.6,536708.4,87.66370331944108,75527.19999999995
2018-09-29,36.4,California,610983.9,533963.6,87.39405408227614,77020.30000000005
2018-10-06,36.4,California,610252.9,532502.6,87.2593313362378,77750.30000000005
2018-10-13,36.4,California,608769.6,533690.1,87.66700899650705,75079.5
2018-10-20,36.4,California,607587.8,534955.4,88.04577708769004,72632.40000000002
2018-10-27,36.4,California,607188.9,537300.0,88.48975994126374,69888.90000000002
2018-11-03,36.4,California,606747.4,539743.8,88.95692012854114,67003.59999999998
2018-11-10,36.4,California,605317.0,539719.1,89.1630501043255,65597.90000000002
2018-11-17,36.4,California,602940.4,535012.8,88.73394451590903,67927.59999999998
2018-11-24,36.4,California,597700.4,536717.9,89.79714586103673,60982.5
2018-12-01,36.4,California,593216.2,534936.4,90.17562231105624,58279.79999999993
2018-12-08,36.4,California,589088.3,533729.9,90.60269911997912,55358.40000000002
2018-12-15,36.4,California,585611.0,534542.0,91.27936462942124,51069.0
2018-12-22,36.4,California,584646.6,528236.9,90.35148754820435,56409.69999999995
2018-12-29,36.4,California,582807.9,522712.1,89.68857491465026,60095.80000000005
2019-01-05,36.4,California,580636.9,516743.5,88.99598010391692,63893.40000000002
2019-01-12,36.4,California,579302.4,515820.7,89.04169911949269,63481.70000000001
2019-01-19,36.4,California,579421.3,511401.9,88.26080435772727,68019.40000000002
2019-01-26,36.4,California,581092.3,507725.5,87.37432934492506,73366.80000000005
2019-02-02,36.4,California,585068.4,511394.2,87.40759200120874,73674.20000000001
2019-02-09,36.4,California,589752.2,508454.9,86.21500691307298,81297.29999999993
2019-02-16,36.4,California,594426.8,512203.2,86.16758194617066,82223.60000000003
2019-02-23,36.4,California,599143.1,519379.6,86.68707025082989,79763.5
2019-03-02,36.4,California,603554.7,522798.4,86.6198871452745,80756.29999999993
2019-03-09,36.4,California,607323.2,531048.4,87.44082228375272,76274.79999999993
2019-03-16,36.4,California,611427.4,536031.5,87.6688712347533,75395.90000000002
2019-03-23,36.4,California,616782.4,541475.2,87.79031308286356,75307.20000000007
2019-03-30,36.4,California,622173.4,542941.3,87.265270421397,79232.09999999998
2019-04-06,36.4,California,627763.1,539041.4,85.86700938618407,88721.69999999995
2019-04-13,36.4,California,633136.4,543741.4,85.88060961271536,89395.0
2019-04-20,36.4,California,636143.1,542415.2,85.26622390465289,93727.90000000002
2019-04-27,36.4,California,638354.2,544630.3,85.31788464773946,93723.8999999999
2019-05-04,36.4,California,641060.6,551899.0,86.09154891128857,89161.59999999998
2019-05-11,36.4,California,643683.7,551761.5,85.71935253292884,91922.19999999995
2019-05-18,36.4,California,647307.9,550343.9,85.02042073022746,96964.0
2019-05-25,36.4,California,651832.3,551081.3,84.54341707215184,100751.0
2019-06-01,36.4,California,655232.8,549853.2,83.91722758689735,105379.6000000001
2019-06-08,36.4,California,657348.2,553182.0,84.15357340295448,104166.19999999995
2019-06-15,36.4,California,657825.6,558700.7,84.93143167429179,99124.90000000002
2019-06-22,36.4,California,656878.0,558969.4,85.09485779703385,97908.59999999998
2019-06-29,36.4,California,655834.0,557491.4,85.00495552228156,98342.59999999998
2019-07-06,36.4,California,654804.2,553224.4,84.48699626544852,101579.79999999993
2019-07-13,36.4,California,654280.8,553111.9,84.53738822841814,101168.90000000002
2019-07-20,36.4,California,653508.1,552065.6,84.47723907324178,101442.5
2019-07-27,36.4,California,652700.0,551171.8,84.44489045503295,101528.19999999995
2019-08-03,36.4,California,652214.7,550441.3,84.39572122492794,101773.3999999999
2019-08-10,36.4,California,651778.7,545613.9,83.71152662705916,106164.79999999993
2019-08-17,36.4,California,651462.6,542235.2,83.23351179330939,109227.40000000002
2019-08-24,36.4,California,650707.7,542416.5,83.35793475319257,108291.19999999995
2019-08-31,36.4,California,650150.9,540441.5,83.12554823810902,109709.40000000002
2019-09-07,36.4,California,649906.1,538900.2,82.91970178461166,111005.90000000002
2019-09-14,36.4,California,650151.5,539793.7,83.0258332096442,110357.80000000005
2019-09-21,36.4,California,650128.7,537968.7,82.74803127442306,112160.0
2019-09-28,36.4,California,649994.0,535837.4,82.43728403646803,114156.59999999998
2019-10-05,36.4,California,649540.3,538181.2,82.85570579685356,111359.1000000001
2019-10-12,36.4,California,648543.8,540368.8,83.32032470281884,108175.0
2019-10-19,36.4,California,647957.3,542456.3,83.71790857206177,105501.0
2019-10-26,36.4,California,647735.9,543606.3,83.92406534823839,104129.59999999998
2019-11-02,36.4,California,647774.8,542475.1,83.74439697252811,105299.70000000007
2019-11-09,36.4,California,647475.3,545412.6,84.23681953581857,102062.70000000007
2019-11-16,36.4,California,647090.6,547131.4,84.55251861176781,99959.19999999995
2019-11-23,36.4,California,646073.0,548506.8,84.89857957227744,97566.19999999995
2019-11-30,36.4,California,643976.5,549169.4,85.27786340029489,94807.09999999998
2019-12-07,36.4,California,642251.1,545881.8,84.99507435643163,96369.29999999993
2019-12-14,36.4,California,640328.7,544566.4,85.044821511202,95762.29999999993
2019-12-21,36.4,California,638080.4,545799.5,85.53773160874397,92280.90000000002
2019-12-28,36.4,California,636455.7,541515.3,85.08295235630699,94940.3999999999
2020-01-04,36.4,California,634585.3,540890.3,85.23523945480616,93695.0
2020-01-11,36.4,California,633704.3,538386.8,84.9586786771054,95317.5
2020-01-18,36.4,California,635557.2,534072.2,84.03212173506964,101485.0
2020-01-25,36.4,California,639436.3,534800.2,83.63619644364887,104636.1000000001
2020-02-01,36.4,California,646303.1,531322.6,82.20950820133773,114980.5
2020-02-08,36.4,California,654103.0,532266.4,81.37348399258221,121836.59999999998
2020-02-15,36.4,California,661550.3,536710.1,81.12914467728304,124840.20000000007
2020-02-22,36.4,California,667833.1,546310.1,81.80338770270596,121523.0
2020-02-29,36.4,California,674402.4,552362.7,81.90402347322606,122039.70000000007
2020-03-07,36.4,California,681474.0,557481.4,81.80523394876401,123992.59999999998
2020-03-14,36.4,California,688305.1,560793.9,81.47461060509359,127511.19999999995
2020-03-21,36.4,California,692835.1,562137.6,81.13584314651496,130697.5
2020-03-28,36.4,California,690489.3,564487.5,81.75180991218835,126001.80000000005
2020-04-04,36.4,California,684420.1,567825.1,82.96441030881472,116595.0
2020-04-11,36.4,California,675053.1,571012.6,84.58780501859779,104040.5
2020-04-18,36.4,California,666891.6,569800.1,85.4411871434578,97091.5
2020-04-25,36.4,California,663000.7,568564.4,85.75622921665091,94436.29999999993
2020-05-02,36.4,California,662002.4,563126.8,85.06416290937918,98875.59999999998
2020-05-09,36.4,California,664522.6,563820.6,84.84596310193211,100702.0
2020-05-16,36.4,California,668660.7,562219.4,84.08141827387195,106441.29999999993
2020-05-23,36.4,California,674047.8,562686.1,83.47866427277116,111361.70000000007
2020-05-30,36.4,California,679658.8,565761.1,83.24192962704227,113897.70000000007
2020-06-06,36.4,California,684633.4,562729.8,82.19432472911781,121903.59999999998
2020-06-13,36.4,California,690821.1,567662.4,82.17212821090729,123158.69999999995
2020-06-20,36.4,California,698258.7,571762.6,81.88406388635043,126496.09999999998
2020-06-27,36.4,California,706235.6,574400.1,81.33264593288698,131835.5
2020-07-04,36.4,California,713266.8,580775.1,81.42466465563797,132491.70000000007
2020-07-11,36.4,California,718015.7,581275.1,80.95576461628903,136740.59999999998
2020-07-18,36.4,California,720947.0,585262.6,81.17969836895084,135684.40000000002
2020-07-25,36.4,California,723047.8,588781.3,81.43048080638651,134266.5
2020-08-01,36.4,California,725129.9,588406.3,81.14495071848506,136723.59999999998
2020-08-08,36.4,California,728114.2,589625.0,80.97974191411183,138489.19999999995
2020-08-15,36.4,California,729704.2,592203.3,81.15662483510442,137500.8999999999
2020-08-22,36.4,California,729313.8,592603.2,81.25490015409004,136710.6000000001
2020-08-29,36.4,California,729154.8,596584.5,81.81863439697578,132570.30000000005
2020-09-05,36.4,California,728570.2,600490.6,82.42041741482153,128079.59999999998
2020-09-12,36.4,California,728004.5,600262.7,82.45315791317223,127741.80000000005
2020-09-19,36.4,California,728430.5,603718.9,82.87940990938738,124711.59999999998
2020-09-26,36.4,California,728060.6,603468.9,82.88717999573113,124591.69999999995
2020-10-03,36.4,California,727718.5,602931.3,82.8522704864587,124787.19999999995
2020-10-10,36.4,California,727175.5,604709.1,83.1586185178131,122466.40000000002
