region_date,date,size_rank,region_name,latitude,longitude,list_price,sale_price,list_divided_by_sale,list_minus_sale
fresno20201010,2020-10-10,56,"Fresno, CA",36.7394421,-119.7848307,397695.0,317750.0,79.89791171626499,79945.0
stockton20201010,2020-10-10,77,"Stockton, CA",37.9577016,-121.2907796,507849.0,431125.0,84.89235973685092,76724.0
sandiego20201010,2020-10-10,17,"San Diego, CA",32.7174202,-117.1627728,844941.0,662750.0,78.43742935897299,182191.0
sanfrancisco20201010,2020-10-10,11,"San Francisco, CA",37.7790262,-122.419906,1022329.0,900375.0,88.07096345696934,121954.0
losangeles-longbeach-anaheim20201010,2020-10-10,2,"Los Angeles-Long Beach-Anaheim, CA",33.782237,-118.1519248,978434.0,741125.0,75.74603907877282,237309.0
riverside20201010,2020-10-10,13,"Riverside, CA",33.9533546,-117.3961623,480260.0,425716.0,88.64281847332694,54544.0
sacramento20201010,2020-10-10,25,"Sacramento, CA",38.5810606,-121.493895,581152.0,474750.0,81.69119266560212,106402.0
sanjose20201010,2020-10-10,34,"San Jose, CA",37.3361905,-121.890583,1288138.0,1132625.0,87.92730282003947,155513.0
bakersfield20201017,2020-10-17,63,"Bakersfield, CA",35.3738712,-119.0194639,306368.0,276125.0,90.12853822853562,30243.0
ventura20201017,2020-10-17,66,"Ventura, CA",34.4458248,-119.0779359,859621.0,684000.0,79.5699500128545,175621.0
fresno20201017,2020-10-17,56,"Fresno, CA",36.7394421,-119.7848307,394929.0,317375.0,80.36254617918664,77554.0
stockton20201017,2020-10-17,77,"Stockton, CA",37.9577016,-121.2907796,504673.0,422375.0,83.69280702553931,82298.0
sandiego20201017,2020-10-17,17,"San Diego, CA",32.7174202,-117.1627728,845980.0,661500.0,78.19333790396936,184480.0
riverside20201017,2020-10-17,13,"Riverside, CA",33.9533546,-117.3961623,481532.0,427591.0,88.79804457440004,53941.0
losangeles-longbeach-anaheim20201017,2020-10-17,2,"Los Angeles-Long Beach-Anaheim, CA",33.782237,-118.1519248,976152.0,737375.0,75.53895294995043,238777.0
sanfrancisco20201017,2020-10-17,11,"San Francisco, CA",37.7790262,-122.419906,1022342.0,896250.0,87.66635822454717,126092.0
sacramento20201017,2020-10-17,25,"Sacramento, CA",38.5810606,-121.493895,582548.0,474750.0,81.49543041946758,107798.0
sanjose20201017,2020-10-17,34,"San Jose, CA",37.3361905,-121.890583,1282719.0,1141375.0,88.98090696403499,141344.0
sandiego20201024,2020-10-24,17,"San Diego, CA",32.7174202,-117.1627728,845954.0,660875.0,78.12186005385635,185079.0
losangeles-longbeach-anaheim20201024,2020-10-24,2,"Los Angeles-Long Beach-Anaheim, CA",33.782237,-118.1519248,975700.0,740000.0,75.84298452393153,235700.0
