,date,size_rank,region_name,latitude,longitude,list_price,sale_price,list_divided_by_sale,list_minus_sale
0,2017-11-04,36.4,California,36.7014631,-118.755997,614123.7,508281.3,82.76529630756801,105842.39999999997
1,2017-11-11,36.4,California,36.7014631,-118.755997,613946.7,514450.0,83.79391891836865,99496.69999999995
2,2017-11-18,36.4,California,36.7014631,-118.755997,614898.4,516943.9,84.06980730475149,97954.5
3,2017-11-25,36.4,California,36.7014631,-118.755997,612118.7,517912.7,84.6098477305137,94205.99999999994
4,2017-12-02,36.4,California,36.7014631,-118.755997,608753.3,517612.8,85.02833578068487,91140.50000000006
5,2017-12-09,36.4,California,36.7014631,-118.755997,608399.3,517747.5,85.0999499835059,90651.80000000005
6,2017-12-16,36.4,California,36.7014631,-118.755997,608267.7,511941.2,84.16379827500295,96326.49999999994
7,2017-12-23,36.4,California,36.7014631,-118.755997,609372.0,510903.7,83.84101993527763,98468.3
8,2017-12-30,36.4,California,36.7014631,-118.755997,611030.8,511653.6,83.73613899659395,99377.20000000008
9,2018-01-06,36.4,California,36.7014631,-118.755997,609612.5,509000.2,83.49569603641658,100612.3
10,2018-01-13,36.4,California,36.7014631,-118.755997,608077.2,508910.7,83.69179110810273,99166.49999999994
11,2018-01-20,36.4,California,36.7014631,-118.755997,607682.7,507343.8,83.48827439056599,100338.89999999997
12,2018-01-27,36.4,California,36.7014631,-118.755997,609083.3,499618.7,82.02797548381314,109464.60000000003
13,2018-02-03,36.4,California,36.7014631,-118.755997,614276.0,494361.3,80.47869361655022,119914.7
14,2018-02-10,36.4,California,36.7014631,-118.755997,619167.8,496598.3,80.20415467341809,122569.50000000006
15,2018-02-17,36.4,California,36.7014631,-118.755997,625491.7,499740.2,79.895576552015,125751.49999999994
16,2018-02-24,36.4,California,36.7014631,-118.755997,631636.3,514771.4,81.49807096267267,116864.90000000002
17,2018-03-03,36.4,California,36.7014631,-118.755997,636909.1,524128.9,82.29257518851591,112780.19999999995
18,2018-03-10,36.4,California,36.7014631,-118.755997,641876.3,532231.4,82.91806380762151,109644.90000000002
19,2018-03-17,36.4,California,36.7014631,-118.755997,645453.3,537537.6,83.28063393587111,107915.70000000008
20,2018-03-24,36.4,California,36.7014631,-118.755997,648137.0,541718.7,83.58089416280816,106418.30000000005
21,2018-03-31,36.4,California,36.7014631,-118.755997,650612.5,547556.2,84.16011066495032,103056.30000000005
22,2018-04-07,36.4,California,36.7014631,-118.755997,654278.9,547912.4,83.74294203893783,106366.5
23,2018-04-14,36.4,California,36.7014631,-118.755997,656604.3,548499.9,83.53583733764765,108104.40000000002
24,2018-04-21,36.4,California,36.7014631,-118.755997,659389.9,545612.5,82.745049628452,113777.40000000002
25,2018-04-28,36.4,California,36.7014631,-118.755997,662515.7,545318.8,82.31032109880567,117196.8999999999
26,2018-05-05,36.4,California,36.7014631,-118.755997,664079.4,545087.6,82.0816908339575,118991.80000000005
27,2018-05-12,36.4,California,36.7014631,-118.755997,664980.9,546100.1,82.12267450087664,118880.80000000005
28,2018-05-19,36.4,California,36.7014631,-118.755997,665404.3,547968.9,82.35127124967482,117435.40000000002
29,2018-05-26,36.4,California,36.7014631,-118.755997,665219.6,552206.4,83.01114398914284,113013.19999999995
30,2018-06-02,36.4,California,36.7014631,-118.755997,665614.3,555356.4,83.43516658220834,110257.90000000002
31,2018-06-09,36.4,California,36.7014631,-118.755997,665150.3,556422.6,83.65366444245758,108727.70000000008
32,2018-06-16,36.4,California,36.7014631,-118.755997,664229.7,558066.3,84.0170651809156,106163.3999999999
33,2018-06-23,36.4,California,36.7014631,-118.755997,662252.8,558247.6,84.29524193782191,104005.20000000008
34,2018-06-30,36.4,California,36.7014631,-118.755997,659277.7,557016.3,84.48887320168726,102261.3999999999
35,2018-07-07,36.4,California,36.7014631,-118.755997,656900.5,555150.0,84.5105156717037,101750.5
36,2018-07-14,36.4,California,36.7014631,-118.755997,652816.2,550200.0,84.28099670320682,102616.19999999995
37,2018-07-21,36.4,California,36.7014631,-118.755997,648498.7,543975.0,83.88220361891243,104523.69999999995
38,2018-07-28,36.4,California,36.7014631,-118.755997,644308.3,542717.2,84.23253277972671,101591.1000000001
39,2018-08-04,36.4,California,36.7014631,-118.755997,639503.7,542210.8,84.78618653809198,97292.8999999999
40,2018-08-11,36.4,California,36.7014631,-118.755997,634891.0,541904.6,85.35395839600814,92986.40000000002
41,2018-08-18,36.4,California,36.7014631,-118.755997,629570.5,544304.6,86.45649692925574,85265.90000000002
42,2018-08-25,36.4,California,36.7014631,-118.755997,624280.5,547212.4,87.6548923120296,77068.09999999998
43,2018-09-01,36.4,California,36.7014631,-118.755997,619556.7,546456.3,88.20117674459821,73100.3999999999
44,2018-09-08,36.4,California,36.7014631,-118.755997,615426.6,546523.5,88.80401009641118,68903.09999999998
45,2018-09-15,36.4,California,36.7014631,-118.755997,613639.5,542754.9,88.44849459658317,70884.59999999998
46,2018-09-22,36.4,California,36.7014631,-118.755997,612235.6,536708.4,87.66370331944108,75527.19999999995
47,2018-09-29,36.4,California,36.7014631,-118.755997,610983.9,533963.6,87.39405408227614,77020.30000000005
48,2018-10-06,36.4,California,36.7014631,-118.755997,610252.9,532502.6,87.2593313362378,77750.30000000005
49,2018-10-13,36.4,California,36.7014631,-118.755997,608769.6,533690.1,87.66700899650705,75079.5
