,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1347,2020-05-30,551836.5755965295,563226.8390233864,570015.9012810425,551836.5755965295,551836.5755965295,14754.809084320937,14754.809084320937,14754.809084320937,14754.809084320937,14754.809084320937,14754.809084320937,0.0,0.0,0.0,566591.3846808504
1348,2020-05-30,551836.5755965295,562944.8043671438,570066.6656115266,551836.5755965295,551836.5755965295,14754.809084320937,14754.809084320937,14754.809084320937,14754.809084320937,14754.809084320937,14754.809084320937,0.0,0.0,0.0,566591.3846808504
1349,2020-05-30,551836.5755965295,563019.8233155435,569865.1014180977,551836.5755965295,551836.5755965295,14754.809084320937,14754.809084320937,14754.809084320937,14754.809084320937,14754.809084320937,14754.809084320937,0.0,0.0,0.0,566591.3846808504
1350,2020-06-06,553094.701167305,566383.6028862895,572937.2622930519,553094.701167305,553094.701167305,16528.75782881913,16528.75782881913,16528.75782881913,16528.75782881913,16528.75782881913,16528.75782881913,0.0,0.0,0.0,569623.4589961241
1351,2020-06-06,553094.701167305,566377.6941889323,573167.5240993678,553094.701167305,553094.701167305,16528.75782881913,16528.75782881913,16528.75782881913,16528.75782881913,16528.75782881913,16528.75782881913,0.0,0.0,0.0,569623.4589961241
1352,2020-06-06,553094.701167305,565924.5864454592,572986.6775849693,553094.701167305,553094.701167305,16528.75782881913,16528.75782881913,16528.75782881913,16528.75782881913,16528.75782881913,16528.75782881913,0.0,0.0,0.0,569623.4589961241
1353,2020-06-06,553094.701167305,566156.771872103,572813.43824753,553094.701167305,553094.701167305,16528.75782881913,16528.75782881913,16528.75782881913,16528.75782881913,16528.75782881913,16528.75782881913,0.0,0.0,0.0,569623.4589961241
1354,2020-06-06,553094.701167305,566111.4815949835,573058.8409247044,553094.701167305,553094.701167305,16528.75782881913,16528.75782881913,16528.75782881913,16528.75782881913,16528.75782881913,16528.75782881913,0.0,0.0,0.0,569623.4589961241
1355,2020-06-06,553094.701167305,566154.8198440267,573153.4687223032,553094.701167305,553094.701167305,16528.75782881913,16528.75782881913,16528.75782881913,16528.75782881913,16528.75782881913,16528.75782881913,0.0,0.0,0.0,569623.4589961241
1356,2020-06-06,553094.701167305,566352.7881805156,572903.4212025882,553094.701167305,553094.701167305,16528.75782881913,16528.75782881913,16528.75782881913,16528.75782881913,16528.75782881913,16528.75782881913,0.0,0.0,0.0,569623.4589961241
1357,2020-06-06,553094.701167305,566357.6481999741,572979.7864640224,553094.701167305,553094.701167305,16528.75782881913,16528.75782881913,16528.75782881913,16528.75782881913,16528.75782881913,16528.75782881913,0.0,0.0,0.0,569623.4589961241
1358,2020-06-06,553094.701167305,566509.172537112,572957.173792574,553094.701167305,553094.701167305,16528.75782881913,16528.75782881913,16528.75782881913,16528.75782881913,16528.75782881913,16528.75782881913,0.0,0.0,0.0,569623.4589961241
1359,2020-06-06,553094.701167305,566224.33974619,573094.6234687455,553094.701167305,553094.701167305,16528.75782881913,16528.75782881913,16528.75782881913,16528.75782881913,16528.75782881913,16528.75782881913,0.0,0.0,0.0,569623.4589961241
1360,2020-06-13,554352.8267380805,570451.7670782944,577119.2189810618,554352.8267380805,554352.8267380805,19221.61386673468,19221.61386673468,19221.61386673468,19221.61386673468,19221.61386673468,19221.61386673468,0.0,0.0,0.0,573574.4406048151
1361,2020-06-13,554352.8267380805,569956.9455626425,576989.8612209212,554352.8267380805,554352.8267380805,19221.61386673468,19221.61386673468,19221.61386673468,19221.61386673468,19221.61386673468,19221.61386673468,0.0,0.0,0.0,573574.4406048151
1362,2020-06-13,554352.8267380805,570232.8886843724,576931.048031246,554352.8267380805,554352.8267380805,19221.61386673468,19221.61386673468,19221.61386673468,19221.61386673468,19221.61386673468,19221.61386673468,0.0,0.0,0.0,573574.4406048151
1363,2020-06-13,554352.8267380805,570362.1792232585,576976.2764650285,554352.8267380805,554352.8267380805,19221.61386673468,19221.61386673468,19221.61386673468,19221.61386673468,19221.61386673468,19221.61386673468,0.0,0.0,0.0,573574.4406048151
1364,2020-06-13,554352.8267380805,569985.5772684055,577151.5248985601,554352.8267380805,554352.8267380805,19221.61386673468,19221.61386673468,19221.61386673468,19221.61386673468,19221.61386673468,19221.61386673468,0.0,0.0,0.0,573574.4406048151
1365,2020-06-13,554352.8267380805,570241.936678497,576933.8806652529,554352.8267380805,554352.8267380805,19221.61386673468,19221.61386673468,19221.61386673468,19221.61386673468,19221.61386673468,19221.61386673468,0.0,0.0,0.0,573574.4406048151
1366,2020-06-13,554352.8267380805,570195.2181980757,577382.8791691232,554352.8267380805,554352.8267380805,19221.61386673468,19221.61386673468,19221.61386673468,19221.61386673468,19221.61386673468,19221.61386673468,0.0,0.0,0.0,573574.4406048151
1367,2020-06-13,554352.8267380805,570154.123085967,576973.9617795153,554352.8267380805,554352.8267380805,19221.61386673468,19221.61386673468,19221.61386673468,19221.61386673468,19221.61386673468,19221.61386673468,0.0,0.0,0.0,573574.4406048151
1368,2020-06-13,554352.8267380805,570155.946615087,577097.5253955867,554352.8267380805,554352.8267380805,19221.61386673468,19221.61386673468,19221.61386673468,19221.61386673468,19221.61386673468,19221.61386673468,0.0,0.0,0.0,573574.4406048151
1369,2020-06-13,554352.8267380805,570308.6997685512,576864.4473385348,554352.8267380805,554352.8267380805,19221.61386673468,19221.61386673468,19221.61386673468,19221.61386673468,19221.61386673468,19221.61386673468,0.0,0.0,0.0,573574.4406048151
1370,2020-06-20,555610.952308856,573996.2891081361,580851.7429607556,555610.952308856,555610.952308856,21767.263331772945,21767.263331772945,21767.263331772945,21767.263331772945,21767.263331772945,21767.263331772945,0.0,0.0,0.0,577378.215640629
1371,2020-06-20,555610.952308856,573916.4770112347,581025.321028816,555610.952308856,555610.952308856,21767.263331772945,21767.263331772945,21767.263331772945,21767.263331772945,21767.263331772945,21767.263331772945,0.0,0.0,0.0,577378.215640629
1372,2020-06-20,555610.952308856,573740.9717775629,580864.7412147918,555610.952308856,555610.952308856,21767.263331772945,21767.263331772945,21767.263331772945,21767.263331772945,21767.263331772945,21767.263331772945,0.0,0.0,0.0,577378.215640629
1373,2020-06-20,555610.952308856,573918.0921143537,581007.4301754265,555610.952308856,555610.952308856,21767.263331772945,21767.263331772945,21767.263331772945,21767.263331772945,21767.263331772945,21767.263331772945,0.0,0.0,0.0,577378.215640629
1374,2020-06-20,555610.952308856,574034.2413253307,580675.1066441161,555610.952308856,555610.952308856,21767.263331772945,21767.263331772945,21767.263331772945,21767.263331772945,21767.263331772945,21767.263331772945,0.0,0.0,0.0,577378.215640629
1375,2020-06-20,555610.952308856,574004.5352413693,580755.4828533932,555610.952308856,555610.952308856,21767.263331772945,21767.263331772945,21767.263331772945,21767.263331772945,21767.263331772945,21767.263331772945,0.0,0.0,0.0,577378.215640629
1376,2020-06-20,555610.952308856,573832.4425778089,580751.6776431529,555610.952308856,555610.952308856,21767.263331772945,21767.263331772945,21767.263331772945,21767.263331772945,21767.263331772945,21767.263331772945,0.0,0.0,0.0,577378.215640629
1377,2020-06-20,555610.952308856,573923.6065795026,580722.5486940764,555610.952308856,555610.952308856,21767.263331772945,21767.263331772945,21767.263331772945,21767.263331772945,21767.263331772945,21767.263331772945,0.0,0.0,0.0,577378.215640629
1378,2020-06-20,555610.952308856,574051.554935228,580648.2861753029,555610.952308856,555610.952308856,21767.263331772945,21767.263331772945,21767.263331772945,21767.263331772945,21767.263331772945,21767.263331772945,0.0,0.0,0.0,577378.215640629
1379,2020-06-20,555610.952308856,574196.478526892,580892.7583092578,555610.952308856,555610.952308856,21767.263331772945,21767.263331772945,21767.263331772945,21767.263331772945,21767.263331772945,21767.263331772945,0.0,0.0,0.0,577378.215640629
1380,2020-06-27,556869.0778796314,576314.5392777775,583145.5301293804,556869.0778796314,556869.0778796314,22936.24245353255,22936.24245353255,22936.24245353255,22936.24245353255,22936.24245353255,22936.24245353255,0.0,0.0,0.0,579805.320333164
1381,2020-06-27,556869.0778796314,576336.0481794821,583196.7653374387,556869.0778796314,556869.0778796314,22936.24245353255,22936.24245353255,22936.24245353255,22936.24245353255,22936.24245353255,22936.24245353255,0.0,0.0,0.0,579805.320333164
1382,2020-06-27,556869.0778796314,576387.9988880438,583338.8955049614,556869.0778796314,556869.0778796314,22936.24245353255,22936.24245353255,22936.24245353255,22936.24245353255,22936.24245353255,22936.24245353255,0.0,0.0,0.0,579805.320333164
1383,2020-06-27,556869.0778796314,576071.9260104275,583399.0355047563,556869.0778796314,556869.0778796314,22936.24245353255,22936.24245353255,22936.24245353255,22936.24245353255,22936.24245353255,22936.24245353255,0.0,0.0,0.0,579805.320333164
1384,2020-06-27,556869.0778796314,576320.0104131208,583555.3300961774,556869.0778796314,556869.0778796314,22936.24245353255,22936.24245353255,22936.24245353255,22936.24245353255,22936.24245353255,22936.24245353255,0.0,0.0,0.0,579805.320333164
1385,2020-06-27,556869.0778796314,576570.5916354915,583245.7830973702,556869.0778796314,556869.0778796314,22936.24245353255,22936.24245353255,22936.24245353255,22936.24245353255,22936.24245353255,22936.24245353255,0.0,0.0,0.0,579805.320333164
1386,2020-06-27,556869.0778796314,576405.0224967181,583494.1573449702,556869.0778796314,556869.0778796314,22936.24245353255,22936.24245353255,22936.24245353255,22936.24245353255,22936.24245353255,22936.24245353255,0.0,0.0,0.0,579805.320333164
1387,2020-06-27,556869.0778796314,576427.7934360157,583348.474534098,556869.0778796314,556869.0778796314,22936.24245353255,22936.24245353255,22936.24245353255,22936.24245353255,22936.24245353255,22936.24245353255,0.0,0.0,0.0,579805.320333164
1388,2020-06-27,556869.0778796314,576285.5289530911,583365.6034146483,556869.0778796314,556869.0778796314,22936.24245353255,22936.24245353255,22936.24245353255,22936.24245353255,22936.24245353255,22936.24245353255,0.0,0.0,0.0,579805.320333164
1389,2020-06-27,556869.0778796314,576532.5333680304,583381.6650712776,556869.0778796314,556869.0778796314,22936.24245353255,22936.24245353255,22936.24245353255,22936.24245353255,22936.24245353255,22936.24245353255,0.0,0.0,0.0,579805.320333164
1390,2020-07-04,558127.2034504069,577162.3791920805,583952.0967005085,558127.2034504069,558127.2034504069,22523.50883069813,22523.50883069813,22523.50883069813,22523.50883069813,22523.50883069813,22523.50883069813,0.0,0.0,0.0,580650.712281105
1391,2020-07-04,558127.2034504069,577155.803949967,583899.1467905737,558127.2034504069,558127.2034504069,22523.50883069813,22523.50883069813,22523.50883069813,22523.50883069813,22523.50883069813,22523.50883069813,0.0,0.0,0.0,580650.712281105
1392,2020-07-04,558127.2034504069,577098.4017239271,584042.1063160624,558127.2034504069,558127.2034504069,22523.50883069813,22523.50883069813,22523.50883069813,22523.50883069813,22523.50883069813,22523.50883069813,0.0,0.0,0.0,580650.712281105
1393,2020-07-04,558127.2034504069,577314.3878546378,584027.9524339973,558127.2034504069,558127.2034504069,22523.50883069813,22523.50883069813,22523.50883069813,22523.50883069813,22523.50883069813,22523.50883069813,0.0,0.0,0.0,580650.712281105
1394,2020-07-04,558127.2034504069,577222.9669302959,583912.8280412351,558127.2034504069,558127.2034504069,22523.50883069813,22523.50883069813,22523.50883069813,22523.50883069813,22523.50883069813,22523.50883069813,0.0,0.0,0.0,580650.712281105
1395,2020-07-04,558127.2034504069,577199.2166166004,584012.632259889,558127.2034504069,558127.2034504069,22523.50883069813,22523.50883069813,22523.50883069813,22523.50883069813,22523.50883069813,22523.50883069813,0.0,0.0,0.0,580650.712281105
1396,2020-07-04,558127.2034504069,577069.2417730732,584092.4054022832,558127.2034504069,558127.2034504069,22523.50883069813,22523.50883069813,22523.50883069813,22523.50883069813,22523.50883069813,22523.50883069813,0.0,0.0,0.0,580650.712281105
1397,2020-07-04,558127.2034504069,577010.6568969439,584084.174574566,558127.2034504069,558127.2034504069,22523.50883069813,22523.50883069813,22523.50883069813,22523.50883069813,22523.50883069813,22523.50883069813,0.0,0.0,0.0,580650.712281105
1398,2020-07-04,558127.2034504069,577557.768442875,584143.9416161358,558127.2034504069,558127.2034504069,22523.50883069813,22523.50883069813,22523.50883069813,22523.50883069813,22523.50883069813,22523.50883069813,0.0,0.0,0.0,580650.712281105
1399,2020-07-04,558127.2034504069,577141.4500072422,583848.7031095293,558127.2034504069,558127.2034504069,22523.50883069813,22523.50883069813,22523.50883069813,22523.50883069813,22523.50883069813,22523.50883069813,0.0,0.0,0.0,580650.712281105
1400,2020-07-11,559385.3290211824,577436.5897716414,584181.3868832132,559385.3290211824,559385.3290211824,21350.06869503065,21350.06869503065,21350.06869503065,21350.06869503065,21350.06869503065,21350.06869503065,0.0,0.0,0.0,580735.397716213
1401,2020-07-11,559385.3290211824,577066.4167514063,584059.9579067029,559385.3290211824,559385.3290211824,21350.06869503065,21350.06869503065,21350.06869503065,21350.06869503065,21350.06869503065,21350.06869503065,0.0,0.0,0.0,580735.397716213
1402,2020-07-11,559385.3290211824,577294.5140366999,584215.6345953494,559385.3290211824,559385.3290211824,21350.06869503065,21350.06869503065,21350.06869503065,21350.06869503065,21350.06869503065,21350.06869503065,0.0,0.0,0.0,580735.397716213
1403,2020-07-11,559385.3290211824,577399.1833464011,584226.3560223546,559385.3290211824,559385.3290211824,21350.06869503065,21350.06869503065,21350.06869503065,21350.06869503065,21350.06869503065,21350.06869503065,0.0,0.0,0.0,580735.397716213
1404,2020-07-11,559385.3290211824,577338.4843347465,584257.3530645942,559385.3290211824,559385.3290211824,21350.06869503065,21350.06869503065,21350.06869503065,21350.06869503065,21350.06869503065,21350.06869503065,0.0,0.0,0.0,580735.397716213
1405,2020-07-11,559385.3290211824,577012.0022563655,584049.3447882668,559385.3290211824,559385.3290211824,21350.06869503065,21350.06869503065,21350.06869503065,21350.06869503065,21350.06869503065,21350.06869503065,0.0,0.0,0.0,580735.397716213
1406,2020-07-11,559385.3290211824,577383.7225588931,584247.9470592487,559385.3290211824,559385.3290211824,21350.06869503065,21350.06869503065,21350.06869503065,21350.06869503065,21350.06869503065,21350.06869503065,0.0,0.0,0.0,580735.397716213
